period,cost_center,company_code,headcount,avg_fully_loaded_cost
2026-02-01,CC100,1000,31.5,128462.66666666667
2026-02-01,CC100,2000,17.2,128462.66666666667
2026-02-01,CC100,3000,8.6,128462.66666666667
2026-02-01,CC200,1000,48.9,165477.33333333334
2026-02-01,CC200,2000,26.7,165477.33333333334
2026-02-01,CC200,3000,13.3,165477.33333333334
2026-02-01,CC300,1000,11.5,114310.0
2026-02-01,CC300,2000,6.3,114310.0
2026-02-01,CC300,3000,3.1,114310.0
2026-02-01,CC400,1000,21.0,106689.33333333333
2026-02-01,CC400,2000,11.5,106689.33333333333
2026-02-01,CC400,3000,5.7,106689.33333333333
2026-02-01,CC500,1000,11.5,132817.33333333334
2026-02-01,CC500,2000,6.3,132817.33333333334
2026-02-01,CC500,3000,3.1,132817.33333333334
2026-03-01,CC100,1000,32.0,128738.0
2026-03-01,CC100,2000,17.4,128738.0
2026-03-01,CC100,3000,8.7,128738.0
2026-03-01,CC200,1000,48.9,165832.0
2026-03-01,CC200,2000,26.6,165832.0
2026-03-01,CC200,3000,13.3,165832.0
2026-03-01,CC300,1000,11.5,114555.0
2026-03-01,CC300,2000,6.3,114555.0
2026-03-01,CC300,3000,3.1,114555.0
2026-03-01,CC400,1000,21.2,106918.0
2026-03-01,CC400,2000,11.6,106918.0
2026-03-01,CC400,3000,5.8,106918.0
2026-03-01,CC500,1000,11.6,133102.0
2026-03-01,CC500,2000,6.3,133102.0
2026-03-01,CC500,3000,3.2,133102.0
2026-04-01,CC100,1000,32.1,129013.33333333333
2026-04-01,CC100,2000,17.5,129013.33333333333
2026-04-01,CC100,3000,8.8,129013.33333333333
2026-04-01,CC200,1000,49.1,166186.66666666666
2026-04-01,CC200,2000,26.8,166186.66666666666
2026-04-01,CC200,3000,13.4,166186.66666666666
2026-04-01,CC300,1000,11.7,114800.0
2026-04-01,CC300,2000,6.4,114800.0
2026-04-01,CC300,3000,3.2,114800.0
2026-04-01,CC400,1000,21.5,107146.66666666666
2026-04-01,CC400,2000,11.8,107146.66666666666
2026-04-01,CC400,3000,5.9,107146.66666666666
2026-04-01,CC500,1000,11.8,133386.66666666666
2026-04-01,CC500,2000,6.4,133386.66666666666
2026-04-01,CC500,3000,3.2,133386.66666666666
2026-05-01,CC100,1000,32.5,129288.66666666666
2026-05-01,CC100,2000,17.8,129288.66666666666
2026-05-01,CC100,3000,8.9,129288.66666666666
2026-05-01,CC200,1000,49.4,166541.3333333333
2026-05-01,CC200,2000,26.9,166541.3333333333
2026-05-01,CC200,3000,13.5,166541.3333333333
2026-05-01,CC300,1000,11.7,115044.99999999999
2026-05-01,CC300,2000,6.4,115044.99999999999
2026-05-01,CC300,3000,3.2,115044.99999999999
2026-05-01,CC400,1000,21.8,107375.33333333333
2026-05-01,CC400,2000,11.9,107375.33333333333
2026-05-01,CC400,3000,6.0,107375.33333333333
2026-05-01,CC500,1000,11.8,133671.3333333333
2026-05-01,CC500,2000,6.4,133671.3333333333
2026-05-01,CC500,3000,3.2,133671.3333333333
2026-06-01,CC100,1000,33.0,129564.00000000001
2026-06-01,CC100,2000,18.0,129564.00000000001
2026-06-01,CC100,3000,9.0,129564.00000000001
2026-06-01,CC200,1000,49.9,166896.0
2026-06-01,CC200,2000,27.2,166896.0
2026-06-01,CC200,3000,13.6,166896.0
2026-06-01,CC300,1000,11.7,115290.00000000001
2026-06-01,CC300,2000,6.4,115290.00000000001
2026-06-01,CC300,3000,3.2,115290.00000000001
2026-06-01,CC400,1000,22.2,107604.00000000001
2026-06-01,CC400,2000,12.1,107604.00000000001
2026-06-01,CC400,3000,6.0,107604.00000000001
2026-06-01,CC500,1000,11.9,133956.0
2026-06-01,CC500,2000,6.5,133956.0
2026-06-01,CC500,3000,3.3,133956.0
2026-07-01,CC100,1000,33.2,129839.33333333334
2026-07-01,CC100,2000,18.1,129839.33333333334
2026-07-01,CC100,3000,9.1,129839.33333333334
2026-07-01,CC200,1000,50.8,167250.6666666667
2026-07-01,CC200,2000,27.7,167250.6666666667
2026-07-01,CC200,3000,13.9,167250.6666666667
2026-07-01,CC300,1000,11.6,115535.0
2026-07-01,CC300,2000,6.3,115535.0
2026-07-01,CC300,3000,3.2,115535.0
2026-07-01,CC400,1000,22.5,107832.66666666667
2026-07-01,CC400,2000,12.3,107832.66666666667
2026-07-01,CC400,3000,6.1,107832.66666666667
2026-07-01,CC500,1000,12.1,134240.6666666667
2026-07-01,CC500,2000,6.6,134240.6666666667
2026-07-01,CC500,3000,3.3,134240.6666666667
2026-08-01,CC100,1000,33.4,130114.66666666667
2026-08-01,CC100,2000,18.2,130114.66666666667
2026-08-01,CC100,3000,9.1,130114.66666666667
2026-08-01,CC200,1000,51.5,167605.33333333334
2026-08-01,CC200,2000,28.1,167605.33333333334
2026-08-01,CC200,3000,14.1,167605.33333333334
2026-08-01,CC300,1000,11.6,115780.0
2026-08-01,CC300,2000,6.3,115780.0
2026-08-01,CC300,3000,3.2,115780.0
2026-08-01,CC400,1000,22.9,108061.33333333333
2026-08-01,CC400,2000,12.5,108061.33333333333
2026-08-01,CC400,3000,6.2,108061.33333333333
2026-08-01,CC500,1000,12.2,134525.33333333334
2026-08-01,CC500,2000,6.7,134525.33333333334
2026-08-01,CC500,3000,3.3,134525.33333333334
2026-09-01,CC100,1000,33.6,130390.0
2026-09-01,CC100,2000,18.3,130390.0
2026-09-01,CC100,3000,9.2,130390.0
2026-09-01,CC200,1000,52.5,167960.0
2026-09-01,CC200,2000,28.6,167960.0
2026-09-01,CC200,3000,14.3,167960.0
2026-09-01,CC300,1000,11.6,116025.0
2026-09-01,CC300,2000,6.3,116025.0
2026-09-01,CC300,3000,3.2,116025.0
2026-09-01,CC400,1000,22.9,108290.0
2026-09-01,CC400,2000,12.5,108290.0
2026-09-01,CC400,3000,6.3,108290.0
2026-09-01,CC500,1000,12.2,134810.0
2026-09-01,CC500,2000,6.7,134810.0
2026-09-01,CC500,3000,3.3,134810.0
2026-10-01,CC100,1000,34.1,130665.33333333333
2026-10-01,CC100,2000,18.6,130665.33333333333
2026-10-01,CC100,3000,9.3,130665.33333333333
2026-10-01,CC200,1000,52.7,168314.66666666666
2026-10-01,CC200,2000,28.8,168314.66666666666
2026-10-01,CC200,3000,14.4,168314.66666666666
2026-10-01,CC300,1000,11.7,116270.0
2026-10-01,CC300,2000,6.4,116270.0
2026-10-01,CC300,3000,3.2,116270.0
2026-10-01,CC400,1000,22.9,108518.66666666666
2026-10-01,CC400,2000,12.5,108518.66666666666
2026-10-01,CC400,3000,6.2,108518.66666666666
2026-10-01,CC500,1000,12.5,135094.66666666666
2026-10-01,CC500,2000,6.8,135094.66666666666
2026-10-01,CC500,3000,3.4,135094.66666666666
2026-11-01,CC100,1000,34.4,130940.66666666666
2026-11-01,CC100,2000,18.8,130940.66666666666
2026-11-01,CC100,3000,9.4,130940.66666666666
2026-11-01,CC200,1000,53.3,168669.3333333333
2026-11-01,CC200,2000,29.1,168669.3333333333
2026-11-01,CC200,3000,14.5,168669.3333333333
2026-11-01,CC300,1000,11.7,116514.99999999999
2026-11-01,CC300,2000,6.4,116514.99999999999
2026-11-01,CC300,3000,3.2,116514.99999999999
2026-11-01,CC400,1000,23.2,108747.33333333333
2026-11-01,CC400,2000,12.7,108747.33333333333
2026-11-01,CC400,3000,6.3,108747.33333333333
2026-11-01,CC500,1000,12.6,135379.3333333333
2026-11-01,CC500,2000,6.9,135379.3333333333
2026-11-01,CC500,3000,3.4,135379.3333333333
2026-12-01,CC100,1000,35.0,131216.0
2026-12-01,CC100,2000,19.1,131216.0
2026-12-01,CC100,3000,9.5,131216.0
2026-12-01,CC200,1000,54.0,169024.00000000003
2026-12-01,CC200,2000,29.5,169024.00000000003
2026-12-01,CC200,3000,14.7,169024.00000000003
2026-12-01,CC300,1000,11.8,116760.00000000001
2026-12-01,CC300,2000,6.4,116760.00000000001
2026-12-01,CC300,3000,3.2,116760.00000000001
2026-12-01,CC400,1000,23.4,108976.00000000001
2026-12-01,CC400,2000,12.8,108976.00000000001
2026-12-01,CC400,3000,6.4,108976.00000000001
2026-12-01,CC500,1000,12.7,135664.0
2026-12-01,CC500,2000,6.9,135664.0
2026-12-01,CC500,3000,3.5,135664.0
