period,dim1,dim2,gl_account,line_type,forecast_amount
2026-11-01,CC500,2000,600200,Opex,4552.98
2026-11-01,CC500,3000,500000,Opex,136402.71
2026-11-01,CC500,3000,500100,Opex,61502.93
2026-11-01,CC500,3000,600000,Opex,29340.58
2026-11-01,CC500,3000,600100,Opex,5972.84
2026-11-01,CC500,3000,600200,Opex,2282.86
2026-12-01,PC10,1000,400000,Revenue,1275366.24
2026-12-01,PC10,2000,400000,Revenue,697523.37
2026-12-01,PC10,3000,400000,Revenue,347889.9
2026-12-01,PC20,1000,400000,Revenue,918373.94
2026-12-01,PC20,2000,400000,Revenue,501691.3
2026-12-01,PC20,3000,400000,Revenue,247668.82
2026-12-01,PC30,1000,400100,Revenue,265235.03
2026-12-01,PC30,2000,400100,Revenue,141457.74
2026-12-01,PC30,3000,400100,Revenue,70273.34
2026-12-01,PC40,1000,400200,Revenue,464507.2
2026-12-01,PC40,2000,400200,Revenue,250343.26
2026-12-01,PC40,3000,400200,Revenue,126608.7
2026-12-01,CC100,1000,600000,Opex,281214.24
2026-12-01,CC100,1000,600100,Opex,60569.43
2026-12-01,CC100,1000,600200,Opex,22638.06
2026-12-01,CC100,1000,610000,Opex,128243.71
2026-12-01,CC100,1000,620000,Opex,19915.43
2026-12-01,CC100,1000,630000,Opex,14980.69
2026-12-01,CC100,1000,640000,Opex,11367.31
2026-12-01,CC100,2000,600000,Opex,157636.91
2026-12-01,CC100,2000,600100,Opex,32701.05
2026-12-01,CC100,2000,600200,Opex,12253.23
2026-12-01,CC100,2000,610000,Opex,70386.58
2026-12-01,CC100,2000,620000,Opex,10944.25
2026-12-01,CC100,2000,630000,Opex,7924.36
2026-12-01,CC100,2000,640000,Opex,6078.14
2026-12-01,CC100,3000,600000,Opex,79445.94
2026-12-01,CC100,3000,600100,Opex,16456.2
2026-12-01,CC100,3000,600200,Opex,5971.89
2026-12-01,CC100,3000,610000,Opex,37473.93
2026-12-01,CC100,3000,620000,Opex,5025.01
2026-12-01,CC100,3000,630000,Opex,4196.06
2026-12-01,CC100,3000,640000,Opex,3159.57
2026-12-01,CC200,1000,600000,Opex,552028.83
2026-12-01,CC200,1000,600100,Opex,118118.96
2026-12-01,CC200,1000,600200,Opex,44590.21
2026-12-01,CC200,1000,620000,Opex,11951.35
2026-12-01,CC200,1000,630000,Opex,51886.49
2026-12-01,CC200,1000,640000,Opex,22400.85
2026-12-01,CC200,1000,660000,Opex,21092.78
2026-12-01,CC200,2000,600000,Opex,312518.31
2026-12-01,CC200,2000,600100,Opex,63004.51
2026-12-01,CC200,2000,600200,Opex,24009.12
2026-12-01,CC200,2000,620000,Opex,5672.82
2026-12-01,CC200,2000,630000,Opex,29176.07
2026-12-01,CC200,2000,640000,Opex,11350.7
2026-12-01,CC200,2000,660000,Opex,11514.1
2026-12-01,CC200,3000,600000,Opex,153858.16
2026-12-01,CC200,3000,600100,Opex,32209.52
2026-12-01,CC200,3000,600200,Opex,11817.39
2026-12-01,CC200,3000,620000,Opex,3029.23
2026-12-01,CC200,3000,630000,Opex,13232.7
2026-12-01,CC200,3000,640000,Opex,6385.07
2026-12-01,CC200,3000,660000,Opex,6272.15
2026-12-01,CC300,1000,600000,Opex,95565.33
2026-12-01,CC300,1000,600100,Opex,19321.79
2026-12-01,CC300,1000,600200,Opex,6993.43
2026-12-01,CC300,1000,630000,Opex,4613.44
2026-12-01,CC300,1000,640000,Opex,3873.64
2026-12-01,CC300,1000,650000,Opex,16934.12
2026-12-01,CC300,1000,660000,Opex,3676.82
2026-12-01,CC300,2000,600000,Opex,50661.2
2026-12-01,CC300,2000,600100,Opex,10471.84
2026-12-01,CC300,2000,600200,Opex,3811.09
2026-12-01,CC300,2000,630000,Opex,2605.32
2026-12-01,CC300,2000,640000,Opex,1906.91
2026-12-01,CC300,2000,650000,Opex,10652.86
2026-12-01,CC300,2000,660000,Opex,1954.15
2026-12-01,CC300,3000,600000,Opex,26050.8
2026-12-01,CC300,3000,600100,Opex,5110.33
2026-12-01,CC300,3000,600200,Opex,1997.5
2026-12-01,CC300,3000,630000,Opex,1478.85
2026-12-01,CC300,3000,640000,Opex,1100.9
2026-12-01,CC300,3000,650000,Opex,5269.95
2026-12-01,CC300,3000,660000,Opex,957.46
2026-12-01,CC400,1000,600000,Opex,161958.41
2026-12-01,CC400,1000,600100,Opex,33841.41
2026-12-01,CC400,1000,600200,Opex,12726.51
2026-12-01,CC400,1000,620000,Opex,4131.83
2026-12-01,CC400,1000,630000,Opex,10385.86
2026-12-01,CC400,1000,640000,Opex,6462.89
2026-12-01,CC400,2000,600000,Opex,85469.89
2026-12-01,CC400,2000,600100,Opex,18196.56
2026-12-01,CC400,2000,600200,Opex,6767.35
2026-12-01,CC400,2000,620000,Opex,2306.1
2026-12-01,CC400,2000,630000,Opex,6172.21
2026-12-01,CC400,2000,640000,Opex,3198.02
2026-12-01,CC400,3000,600000,Opex,44185.86
2026-12-01,CC400,3000,600100,Opex,9016.29
2026-12-01,CC400,3000,600200,Opex,3468.17
2026-12-01,CC400,3000,620000,Opex,1041.6
2026-12-01,CC400,3000,630000,Opex,2566.62
2026-12-01,CC400,3000,640000,Opex,1718.34
2026-12-01,CC500,1000,500000,Opex,529299.3
2026-12-01,CC500,1000,500100,Opex,224457.17
2026-12-01,CC500,1000,600000,Opex,108818.24
2026-12-01,CC500,1000,600100,Opex,22570.59
2026-12-01,CC500,1000,600200,Opex,8570.84
2026-12-01,CC500,2000,500000,Opex,256828.75
2026-12-01,CC500,2000,500100,Opex,115473.28
2026-12-01,CC500,2000,600000,Opex,59891.08
2026-12-01,CC500,2000,600100,Opex,12270.43
2026-12-01,CC500,2000,600200,Opex,4663.59
2026-12-01,CC500,3000,500000,Opex,140423.27
2026-12-01,CC500,3000,500100,Opex,62962.74
2026-12-01,CC500,3000,600000,Opex,29199.6
2026-12-01,CC500,3000,600100,Opex,6105.65
2026-12-01,CC500,3000,600200,Opex,2309.34
